最後結算日,契約月份,臺指選擇權
2025/5/21,202505,21848
2025/5/14,202505W2,21751
2025/5/7,202505W1,20466
2025/4/30,202504W5,20211
2025/4/23,202504W4,19583
2025/4/16,202504,19548
2025/4/9,202504W2,17430
2025/4/2,202504W1,21284
2025/3/26,202503W4,22300
2025/3/19,202503,21964
2025/3/12,202503W2,22235
2025/3/5,202503W1,22928
2025/2/26,202502W4,23371
2025/2/19,202502,23607
2025/2/12,202502W2,23315
2025/2/5,202502W1,23145
2025/2/3,202501W5,22678
2025/1/22,202501W4,23589
2025/1/15,202501,22519
2025/1/8,202501W2,23458
2025/1/2,202501W1,22733
2024/12/25,202412W4,23277
2024/12/18,202412,23105
2024/12/11,202412W2,22902
2024/12/4,202412W1,23201
2024/11/27,202411W4,22382
2024/11/20,202411,22686
2024/11/13,202411W2,22912
2024/11/6,202411W1,23261
2024/10/30,202410W5,22837
2024/10/23,202410W4,23335
2024/10/16,202410,22986
2024/10/9,202410W2,22721
2024/10/4,202410W1,22229
2024/9/25,202409W4,22749
2024/9/18,202409,21619
2024/9/11,202409W2,21098
2024/9/4,202409W1,21119
2024/8/28,202408W4,22336
2024/8/21,202408,22200
2024/8/14,202408W2,22019
2024/8/7,202408W1,21239
2024/7/31,202407W5,22239
2024/7/26,202407W4,22069
2024/7/17,202407,23680
2024/7/10,202407W2,23996
2024/7/3,202407W1,23138
2024/6/26,202406W4,22965
2024/6/19,202406,23226
2024/6/12,202406W2,22067
2024/6/5,202406W1,21491
2024/5/29,202405W5,21730
2024/5/22,202405W4,21553
2024/5/15,202405,21143
2024/5/8,202405W2,20667
2024/5/2,202405W1,20251
2024/4/24,202404W4,20149
2024/4/17,202404,20238
2024/4/10,202404W2,20810
2024/4/3,202404W1,20368
2024/3/27,202403W4,20227
2024/3/20,202403,19748
2024/3/13,202403W2,19931
2024/3/6,202403W1,19510
2024/2/29,202402W4,18993
2024/2/21,202402,18671
2024/2/15,202402W1,18632
2024/1/31,202401W5,17896
2024/1/24,202401W4,17873
2024/1/17,202401,17168
2024/1/10,202401W2,17481
2024/1/3,202401W1,17556
