Time,Category,Price,ID,Fee,StrikePrice,FutPrice,Date,ProductCode,SettlementPrice,SettlementDate,DateTime,SelectedStrikePrice,SelectedPrice,Delta,Vega,NewPrice,NewDate,NumMatchingTrades,Intrinsic_Value,PnL_Early_Close,PnL_Settlement
2024-02-01 04:05:00,C,7.0,TX118600B4,11.0,18600.0,17917.0,2024-02-01,202402W1,18632,2024-02-15,40500,18700.0,4.3,0.0297958557200615,2.4056208896452747,3.59,2024-02-01,20,0.0,-57.894499999999994,-256.215
2024-02-01 04:10:00,C,14.5,TX118450B4,12.0,18450.0,17910.0,2024-02-01,202402W1,18632,2024-02-15,41000,18550.0,8.0,0.0533922437999364,3.8634289097552887,9.016666666666667,2024-02-01,24,82.0,27.98250000000005,3658.6
2024-02-01 04:10:00,C,14.5,TX118450B4,12.0,18450.0,17913.0,2024-02-01,202402W1,18632,2024-02-15,41000,18550.0,8.0,0.0533922437999364,3.8634289097552887,9.016666666666667,2024-02-01,24,82.0,27.98250000000005,3658.6
2024-02-23 04:52:00,P,6.4,TX418500N4,11.0,18500.0,18994.0,2024-02-23,202402W4,18993,2024-02-29,45200,18350.0,2.5,-0.0199855168118234,1.2140192664650205,2.7186046511627904,2024-02-23,43,0.0,-11.330697674418616,-166.125
2024-03-13 04:45:00,P,0.4,TX219300O4,11.0,19300.0,19993.0,2024-03-13,202403W2,19931,2024-03-13,44500,19000.0,0.4,-0.003448161860313,0.0652533565401983,0.38181818181818183,2024-03-13,11,0.0,-22.948181818181816,-62.019999999999996
2024-04-17 04:05:00,C,0.7,TXO20450D4,11.0,20450.0,19927.0,2024-04-17,202404,20238,2024-04-17,40500,20550.0,0.7,0.0082846830030808,0.1475855910223292,0.6,2024-04-17,2,0.0,-27.065,-77.035
2024-04-17 04:36:00,C,0.7,TXO20450D4,11.0,20450.0,19930.0,2024-04-17,202404,20238,2024-04-17,43600,21100.0,0.39999999999999997,0.0031951897550962665,0.06138105801144116,0.3,2024-04-17,2,0.0,-27.035,-62.019999999999996
2024-04-17 04:39:00,C,0.7,TXO20450D4,11.0,20450.0,19929.0,2024-04-17,202404,20238,2024-04-17,43900,21100.0,0.4,0.0031995206947614,0.0613561619907911,0.3,2024-04-17,2,0.0,-27.035,-62.019999999999996
2024-04-17 04:43:00,C,0.7,TXO20450D4,11.0,20450.0,19931.0,2024-04-17,202404,20238,2024-04-17,44300,21100.0,0.4,0.0031950700702142,0.0609200303755741,0.3,2024-04-17,2,0.0,-27.035,-62.019999999999996
2024-04-17 04:44:00,C,0.7,TXO20450D4,11.0,20450.0,19930.0,2024-04-17,202404,20238,2024-04-17,44400,21100.0,0.4,0.0031950700702142,0.0609200303755741,0.3,2024-04-17,2,0.0,-27.035,-62.019999999999996
2024-04-17 04:46:00,C,0.6,TXO20450D4,11.0,20450.0,19930.0,2024-04-17,202404,20238,2024-04-17,44600,21100.0,0.4,0.0031950700702142,0.0609200303755741,0.3,2024-04-17,2,0.0,-27.035,-62.019999999999996
2024-06-26 04:27:00,P,1.5,TX422300R4,11.0,22300.0,22810.0,2024-06-26,202406W4,22965,2024-06-26,42700,21900.0,0.9,-0.00655870364251016,0.1350734473201522,0.6066666666666667,2024-06-26,15,0.0,-36.742,-90.045
2024-07-24 04:40:00,C,5.8,TX423250G4,11.0,23250.0,22714.0,2024-07-24,202407W4,22069,2024-07-26,44000,23350.0,2.7,0.0245717699788679,1.0555054955257368,0.575,2024-07-26,40,0.0,-128.41375,-179.135
2024-07-24 04:40:00,C,2.7,TX423350G4,11.0,23350.0,22711.0,2024-07-24,202407W4,22069,2024-07-26,44000,23450.0,1.0,0.0102338212353366,0.4982616595335935,0.7166666666666665,2024-07-26,24,0.0,-36.25250000000001,-94.05
2024-07-24 04:40:00,C,4.0,TX423300G4,11.0,23300.0,22711.0,2024-07-24,202407W4,22069,2024-07-26,44000,23400.0,1.5,0.014851548253851,0.6879469419180824,1.0261682242990657,2024-07-26,107,0.0,-45.81789719626167,-119.075
2024-07-24 04:41:00,C,5.6,TX423250G4,11.0,23250.0,22701.0,2024-07-24,202407W4,22069,2024-07-26,44100,23300.0,4.025,0.03500197553714762,1.4152945466099753,0.9111111111111112,2024-07-26,135,0.0,-177.94125,-245.45125000000002
